,index,batter_name,pitcher_name,matchup_score,isStarter,pitcher_team
69,90,"Hernandez, Enrique","Loaisiga, Jonathan",0.0006274903223084141,False,NYY
70,91,"Kirk, Alejandro","Castro, Miguel",-0.08417739675142481,False,NYY
71,93,"Hernandez, Teoscar","Castro, Miguel",-0.04814002124165037,False,NYY
72,95,"Martinez, J. D.","Castro, Miguel",-0.0574366850633287,False,NYY
73,97,"Gurriel, Lourdes","Castro, Miguel",0.012639048653115183,False,NYY
74,99,"Hernandez, Enrique","Castro, Miguel",-0.07208690405596066,False,NYY
75,101,"Chapman, Matt","Castro, Miguel",0.049217137917446495,False,NYY
76,103,"Devers, Rafael","Castro, Miguel",-0.011449126158036034,False,NYY
77,105,"Bichette, Bo","Holmes, Clay",-0.065848734883875,False,NYY
78,107,"Springer, George","Holmes, Clay",0.03785287707689584,False,NYY
79,109,"Verdugo, Alex","Holmes, Clay",-0.045588911902388146,False,NYY
80,111,"Story, Trevor","Holmes, Clay",-0.04694819097143945,False,NYY
81,113,"Martinez, J. D.","Holmes, Clay",-0.08095789431957107,False,NYY
82,115,"Dalbec, Bobby","Holmes, Clay",0.15552700864179253,False,NYY
83,121,"Guerrero, Vladimir","Holmes, Clay",-0.050490801134510654,False,NYY
84,123,"Bogaerts, Xander","Holmes, Clay",-0.022736345268861584,False,NYY
85,125,"Rendon, Anthony","Bender, Anthony",-0.046399878991715306,False,MIA
86,126,"Crawford, Brandon","Bender, Anthony",-0.08125450963850846,False,MIA
87,127,"Duggar, Steven","Bender, Anthony",-0.004758039664046649,False,MIA
88,128,"Dubon, Mauricio","Bender, Anthony",-0.035924557266954295,False,MIA
89,129,"Flores, Wilmer","Bender, Anthony",-0.030079454464910685,False,MIA
90,130,"Pederson, Joc","Bender, Anthony",0.1092825534313975,False,MIA
91,131,"Estrada, Thairo","Bender, Anthony",0.12329680786893363,False,MIA
92,132,"Stallings, Jacob","Herget, Jimmy",-0.02598295455338977,False,LAA
93,133,"Wendle, Joey","Herget, Jimmy",0.07472725809538887,False,LAA
94,134,"Díaz, Aledmys","Herget, Jimmy",-0.0255725030742224,False,LAA
